,closeDateTime,customerCode,onTimeSolution
21930,1546530060,39159,S
21929,1546530060,39159,S
21925,1546534740,39159,S
21954,1546739100,39159,S
21953,1546817400,39159,S
20892,1546880880,39159,S
20888,1546881060,39159,S
20894,1546881060,39159,S
20901,1546885920,39159,S
20905,1546899600,39159,S
20906,1546901760,39159,S
20886,1546959720,39159,S
20916,1546963560,39159,S
20927,1546963620,39159,S
20912,1546967640,39159,N
20934,1546968960,39159,S
20915,1546969200,39159,S
20856,1546977000,39159,S
20937,1546980960,39159,S
20928,1546981140,39159,S
21951,1546982100,39159,S
20918,1546988280,39159,S
20938,1547046060,39159,S
20940,1547050620,39159,S
20932,1547053080,39159,S
20930,1547054880,39159,S
20942,1547063820,39159,S
20944,1547065200,39159,S
20947,1547066520,39159,S
20919,1547068320,39159,S
20917,1547069400,39159,S
20939,1547070840,39159,S
20935,1547071320,39159,S
20921,1547073480,39159,S
20931,1547074980,39159,S
20925,1547075160,39159,S
20922,1547077980,39159,S
20962,1547134620,39159,S
20948,1547135100,39159,S
20956,1547138580,39159,S
20945,1547138880,39159,S
20961,1547139180,39159,S
20967,1547140680,39159,S
20966,1547142780,39159,S
20964,1547150700,39159,S
20970,1547150820,39159,N
20955,1547152800,39159,S
20958,1547154780,39159,S
20957,1547158260,39159,N
20950,1547160600,39159,S
20954,1547213940,39159,S
20985,1547225220,39159,S
20969,1547225520,39159,S
20952,1547227260,39159,S
20914,1547231940,39159,S
20982,1547232060,39159,S
20984,1547239500,39159,S
20949,1547240520,39159,S
20986,1547243340,39159,S
20990,1547312220,39159,S
20910,1547401680,39159,S
20996,1547479080,39159,S
20981,1547481300,39159,S
21003,1547482020,39159,S
21007,1547482680,39159,S
20995,1547483760,39159,S
20977,1547484060,39159,S
20994,1547485860,39159,S
20973,1547487120,39159,N
20971,1547489460,39159,S
20972,1547489520,39159,S
20987,1547495400,39159,N
20911,1547496120,39159,S
21001,1547498940,39159,S
21006,1547499000,39159,S
21018,1547499120,39159,S
20988,1547500500,39159,N
21011,1547501220,39159,S
20946,1547501460,39159,S
21020,1547502660,39159,S
20943,1547503080,39159,S
21000,1547507640,39159,S
21022,1547508240,39159,S
20959,1547513940,39159,N
21025,1547515080,39159,S
20976,1547565600,39159,N
20992,1547566620,39159,S
20997,1547566800,39159,N
20968,1547567760,39159,S
20998,1547574060,39159,S
21029,1547575740,39159,S
21012,1547575860,39159,S
20983,1547576340,39159,S
21015,1547576880,39159,S
21032,1547577000,39159,S
21013,1547577900,39159,S
20974,1547581200,39159,S
20926,1547582220,39159,S
21010,1547586540,39159,S
21014,1547586960,39159,N
21036,1547587500,39159,S
21043,1547589120,39159,S
21021,1547591280,39159,S
20975,1547591400,39159,N
21035,1547594400,39159,S
21034,1547595420,39159,S
20965,1547646600,39159,S
21024,1547647980,39159,N
21047,1547649720,39159,S
21039,1547651460,39159,S
20941,1547651760,39159,N
21002,1547651760,39159,N
21038,1547653620,39159,N
20978,1547653620,39159,S
20989,1547653620,39159,N
21005,1547654100,39159,S
20909,1547655060,39159,N
21030,1547655360,39159,S
21051,1547655540,39159,S
21040,1547657460,39159,S
20993,1547657580,39159,S
21056,1547657820,39159,S
21054,1547658180,39159,S
21050,1547659140,39159,S
21055,1547661240,39159,S
