,closeDateTime,customerCode,onTimeSolution
7439,1549029240,215,S
7336,1549030020,215,S
7408,1549030800,215,S
7504,1549030920,215,S
7401,1549031280,215,S
5690,1549031340,215,S
7397,1549031640,215,S
7474,1549031700,215,S
7487,1549032180,215,S
7188,1549032600,215,N
7399,1549032900,215,S
7506,1549032900,215,S
7458,1549032960,215,S
5822,1549033020,215,S
7508,1549033140,215,S
6529,1549033260,215,S
7492,1549033380,215,S
6236,1549033620,215,N
7400,1549033740,215,S
6499,1549033740,215,S
7394,1549034640,215,S
7464,1549034700,215,S
7384,1549034760,215,S
7363,1549035000,215,S
7463,1549035180,215,S
7435,1549035240,215,S
7406,1549035360,215,S
7198,1549035660,215,S
7380,1549035720,215,S
7150,1549035960,215,S
7388,1549036020,215,S
7381,1549036080,215,S
7268,1549036080,215,S
7469,1549036140,215,S
7222,1549036200,215,N
6808,1549036200,215,S
7475,1549036380,215,S
7373,1549036380,215,S
7433,1549036380,215,S
7404,1549036440,215,S
850,1549036500,215,S
6191,1549036500,215,N
5431,1549036680,215,S
6233,1549036860,215,N
7278,1549036920,215,S
7176,1549037040,215,S
427,1549037220,215,S
7186,1549037280,215,S
7292,1549037640,215,N
7276,1549037820,215,S
6227,1549037820,215,N
4252,1549037820,215,N
7496,1549037880,215,S
7405,1549038240,215,S
5826,1549038420,215,S
6164,1549038420,215,S
6767,1549038960,215,N
7491,1549039200,215,S
7455,1549039260,215,S
7402,1549039260,215,S
7480,1549039260,215,S
7084,1549039620,215,S
7462,1549039680,215,S
6788,1549039740,215,N
6190,1549039740,215,N
7494,1549039800,215,S
3943,1549039980,215,S
7488,1549040040,215,S
7507,1549040160,215,S
5857,1549040280,215,N
7260,1549040280,215,N
7144,1549040340,215,N
6953,1549041060,215,S
7432,1549041120,215,S
6389,1549041240,215,S
6210,1549041240,215,N
4023,1549041420,215,N
5660,1549041420,215,S
7234,1549041720,215,S
7450,1549041720,215,S
3874,1549041780,215,S
3809,1549042140,215,S
6272,1549042320,215,N
7460,1549042320,215,S
3856,1549042560,215,S
6764,1549042620,215,S
7003,1549042860,215,S
7001,1549043160,215,S
7448,1549043160,215,S
7503,1549043340,215,S
7389,1549043520,215,S
5866,1549043700,215,S
6940,1549043880,215,S
7495,1549044240,215,S
6976,1549044240,215,N
7391,1549044600,215,S
6972,1549045740,215,S
7375,1549045860,215,S
7451,1549046160,215,S
7029,1549046280,215,N
3904,1549046340,215,S
6114,1549046460,215,S
3751,1549046700,215,S
7501,1549046760,215,S
5778,1549046940,215,S
3885,1549047060,215,S
6850,1549047300,215,N
7502,1549047660,215,S
3771,1549047780,215,S
7403,1549047960,215,S
3794,1549047960,215,S
3774,1549048140,215,S
3829,1549048380,215,S
7832,1549048380,215,N
7486,1549048440,215,S
6311,1549048560,215,S
3791,1549048620,215,S
879,1549049100,215,N
7442,1549049100,215,S
5769,1549049100,215,N
7415,1549049160,215,S
6016,1549050540,215,S
7034,1549050600,215,S
7180,1549050720,215,S
7299,1549050720,215,S
5292,1549050780,215,S
3710,1549050900,215,S
3948,1549050960,215,S
3808,1549050960,215,S
3875,1549051080,215,S
6762,1549051140,215,N
3828,1549051320,215,S
7472,1549051560,215,N
7412,1549051680,215,S
3796,1549051740,215,S
6977,1549051920,215,S
3826,1549052340,215,S
3817,1549052340,215,S
3816,1549052400,215,S
7497,1549052580,215,S
6201,1549052640,215,S
7445,1549052700,215,S
6338,1549052700,215,S
3946,1549052760,215,S
3706,1549052940,215,S
7465,1549053060,215,S
6475,1549053360,215,N
6079,1549053360,215,S
7481,1549053540,215,S
3818,1549053720,215,S
3956,1549054020,215,S
7338,1549054080,215,N
3721,1549054080,215,S
3775,1549054380,215,S
7000,1549054620,215,S
5151,1549054620,215,S
4643,1549054680,215,S
7130,1549054980,215,S
6609,1549055160,215,N
6885,1549055340,215,N
7500,1549056000,215,S
7425,1549056060,215,S
6010,1549056360,215,N
5727,1549056540,215,N
3873,1549056540,215,S
3766,1549056660,215,S
3754,1549056660,215,S
7446,1549056840,215,S
7498,1549056960,215,S
7291,1549057140,215,S
7461,1549057200,215,S
2474,1549057260,215,S
7449,1549057260,215,S
7136,1549057320,215,S
7223,1549057740,215,N
5972,1549057800,215,S
7414,1549057980,215,S
6628,1549058160,215,S
6973,1549058220,215,N
7159,1549058460,215,S
3733,1549058580,215,S
7149,1549058640,215,N
5393,1549058640,215,S
6078,1549059120,215,N
3732,1549059300,215,S
7092,1549059540,215,S
6932,1549059720,215,N
7499,1549059960,215,S
7452,1549060200,215,S
7122,1549060200,215,
6766,1549060260,215,S
6686,1549060500,215,N
5770,1549060620,215,S
7075,1549060740,215,N
3665,1549060740,215,S
7078,1549060800,215,
6669,1549061100,215,N
7417,1549061100,215,S
3886,1549061220,215,S
3723,1549061220,215,S
3773,1549061460,215,S
3807,1549061460,215,S
3797,1549061520,215,S
3821,1549061760,215,S
3799,1549062000,215,S
3839,1549062360,215,S
6441,1549062720,215,N
7489,1549062900,215,S
3950,1549063080,215,S
3924,1549063980,215,S
7334,1549064340,215,N
3638,1549064400,215,S
6989,1549064520,215,N
7398,1549064760,215,S
7051,1549064940,215,
6581,1549065000,215,N
3600,1549065060,215,S
6933,1549065360,215,S
3728,1549065420,215,S
5754,1549065720,215,
6955,1549065780,215,S
5844,1549066440,215,N
3653,1549066560,215,S
3618,1549067460,215,S
7055,1549067820,215,
7140,1549068240,215,
3609,1549070820,215,S
3752,1549076220,215,S
3958,1549077600,215,S
3642,1549119240,215,S
3623,1549120560,215,S
7224,1549120620,215,N
3641,1549121520,215,S
6822,1549123920,215,N
3741,1549124880,215,S
7319,1549125360,215,N
3620,1549125660,215,S
3649,1549126560,215,S
3589,1549131720,215,S
5537,1549142760,215,N
6131,1549146360,215,N
3568,1549146840,215,S
3694,1549146900,215,S
3562,1549211520,215,S
3564,1549212660,215,S
7123,1549214340,215,S
7054,1549217040,215,
7081,1549218600,215,
7281,1549222920,215,N
7137,1549224240,215,S
5763,1549230900,215,
7141,1549232820,215,
7202,1549233300,215,N
3654,1549288620,215,S
7135,1549289280,215,S
3722,1549289400,215,S
3663,1549290180,215,S
3614,1549290300,215,S
6981,1549290720,215,N
7347,1549290720,215,S
7056,1549290720,215,
3607,1549290840,215,S
5271,1549291140,215,S
7066,1549291620,215,S
3559,1549291800,215,S
3630,1549291800,215,S
3953,1549292220,215,S
3792,1549292280,215,S
7294,1549292460,215,S
7416,1549292580,215,S
3682,1549292580,215,S
3720,1549292760,215,S
7466,1549293000,215,N
3655,1549293180,215,S
7482,1549293300,215,S
7357,1549293360,215,N
561,1549293540,215,S
3709,1549293900,215,N
7365,1549293960,215,S
7110,1549294020,215,S
6904,1549294080,215,N
7426,1549294200,215,S
