,closeDateTime,customerCode,onTimeSolution
43300,1546448280,900995,S
43157,1546530480,900995,N
43299,1546534800,900995,S
43162,1546547520,900995,S
43295,1546612440,900995,S
43290,1546614900,900995,S
43291,1546615680,900995,S
43293,1546619220,900995,S
43292,1546623240,900995,S
43146,1546637100,900995,N
43284,1546876680,900995,S
43269,1546880280,900995,S
43270,1546880280,900995,S
43287,1546880280,900995,S
43285,1546880280,900995,S
43286,1546880280,900995,S
43123,1546889400,900995,S
43294,1546899780,900995,S
43165,1546965060,900995,S
43151,1546989900,900995,S
43167,1547063100,900995,S
43169,1547133120,900995,S
43171,1547133120,900995,S
43172,1547137800,900995,S
43176,1547156100,900995,S
43152,1547221200,900995,N
43174,1547223720,900995,S
43168,1547224980,900995,S
43179,1547229540,900995,S
43134,1547230440,900995,N
43181,1547488980,900995,S
43189,1547508900,900995,S
43192,1547526720,900995,S
43182,1547526720,900995,S
43127,1547572920,900995,N
43187,1547573160,900995,S
43195,1547575500,900995,S
43183,1547575980,900995,S
43193,1547579820,900995,S
43191,1547591100,900995,S
43196,1547591160,900995,S
43288,1547591820,900995,N
43208,1547652120,900995,S
43205,1547653080,900995,S
43289,1547656020,900995,N
43178,1547656800,900995,S
43212,1547659800,900995,S
43213,1547659980,900995,S
43170,1547662860,900995,S
43198,1547669100,900995,S
43197,1547671500,900995,S
43194,1547671860,900995,S
43207,1547673840,900995,S
43203,1547677560,900995,S
43206,1547679660,900995,S
43166,1547683200,900995,S
43108,1547732760,900995,S
43216,1547732760,900995,S
43211,1547732760,900995,S
43215,1547732760,900995,S
43214,1547732760,900995,S
43111,1547820960,900995,S
43109,1547820960,900995,S
43113,1547830020,900995,S
43110,1547840160,900995,S
43116,1548011700,900995,S
43115,1548076560,900995,S
43220,1548118560,900995,S
43219,1548170160,900995,S
43222,1548171420,900995,S
43184,1548177360,900995,N
43221,1548180360,900995,S
43188,1548188460,900995,N
43177,1548260640,900995,S
43173,1548274920,900995,S
43097,1548276240,900995,N
43226,1548281340,900995,S
43230,1548351420,900995,S
43228,1548360120,900995,S
43138,1548364080,900995,N
43180,1548364440,900995,N
43185,1548367260,900995,S
43234,1548427320,900995,S
43199,1548443340,900995,N
43201,1548444420,900995,N
43202,1548446040,900995,N
43204,1548447480,900995,N
43231,1548450660,900995,S
43233,1548452340,900995,S
43200,1548453720,900995,N
43236,1548694740,900995,S
43209,1548696120,900995,N
43241,1548768420,900995,S
43240,1548768420,900995,S
43244,1548776040,900995,S
43243,1548777960,900995,S
43247,1548792480,900995,S
43159,1548795000,900995,N
43245,1548868500,900995,S
43235,1548870540,900995,S
43232,1548873360,900995,S
43217,1548886860,900995,N
43249,1548889320,900995,S
43239,1548990840,900995,S
