,closeDateTime,customerCode,onTimeSolution
14886,1549027740,3363,S
12605,1549028040,3363,S
14828,1549030260,3363,S
14845,1549031640,3363,S
12604,1549032000,3363,S
12578,1549032240,3363,S
14900,1549032480,3363,S
14868,1549033020,3363,S
14789,1549033140,3363,S
14835,1549034100,3363,N
14788,1549034460,3363,S
13629,1549034640,3363,S
14853,1549034700,3363,S
14897,1549035300,3363,S
14825,1549035660,3363,S
12603,1549036020,3363,S
14786,1549036440,3363,S
12599,1549036560,3363,S
14839,1549036860,3363,S
15455,1549036920,3363,S
12606,1549036980,3363,S
14735,1549037040,3363,S
14946,1549037700,3363,S
14621,1549037760,3363,S
14827,1549037820,3363,S
14581,1549038180,3363,S
14764,1549038240,3363,S
14841,1549038360,3363,S
14851,1549038540,3363,S
12579,1549039080,3363,S
12608,1549039200,3363,S
14832,1549039200,3363,S
12495,1549039860,3363,S
12521,1549039980,3363,S
14784,1549040220,3363,S
14856,1549040280,3363,S
12542,1549040640,3363,S
14949,1549041480,3363,S
14664,1549042320,3363,S
12555,1549042380,3363,S
14812,1549042560,3363,S
14492,1549042740,3363,S
14824,1549042800,3363,S
12576,1549042920,3363,S
12562,1549043100,3363,S
14962,1549043100,3363,S
14899,1549043160,3363,S
14923,1549043700,3363,S
14654,1549043880,3363,S
14917,1549044240,3363,S
14765,1549044420,3363,S
14834,1549044540,3363,S
14842,1549044900,3363,S
14882,1549045140,3363,S
14521,1549045320,3363,S
13944,1549045440,3363,S
14692,1549045680,3363,N
12474,1549045920,3363,S
12471,1549046880,3363,S
12447,1549047240,3363,S
14887,1549047240,3363,S
14904,1549047360,3363,S
14518,1549047480,3363,S
12463,1549047540,3363,S
14810,1549048020,3363,S
14809,1549048140,3363,N
14578,1549048140,3363,S
14920,1549048260,3363,S
14861,1549048620,3363,S
12461,1549049220,3363,S
13960,1549049220,3363,S
12453,1549049520,3363,S
12454,1549050120,3363,S
12449,1549050120,3363,S
12451,1549050540,3363,S
13801,1549050660,3363,S
14847,1549050780,3363,S
12469,1549052040,3363,S
14428,1549052340,3363,S
14592,1549052400,3363,S
14963,1549053300,3363,S
12465,1549053540,3363,S
14599,1549053780,3363,S
14951,1549054260,3363,S
12480,1549054320,3363,S
10433,1549054440,3363,S
13768,1549054800,3363,S
14769,1549054920,3363,S
12585,1549055280,3363,S
12489,1549055340,3363,S
14960,1549055400,3363,S
14884,1549055400,3363,S
14619,1549055700,3363,S
13809,1549055880,3363,S
14613,1549055940,3363,S
12446,1549056360,3363,S
14925,1549056480,3363,S
12445,1549056840,3363,S
14653,1549056900,3363,S
12467,1549057740,3363,S
12473,1549058100,3363,S
12580,1549058640,3363,S
12435,1549058760,3363,S
14799,1549058820,3363,S
14697,1549058820,3363,S
14772,1549059000,3363,S
12478,1549059120,3363,S
12466,1549059300,3363,S
12019,1549059360,3363,S
14955,1549059480,3363,S
14957,1549059960,3363,S
13799,1549060380,3363,S
12395,1549060380,3363,S
14615,1549060500,3363,S
12491,1549061220,3363,S
12499,1549061280,3363,S
14919,1549061880,3363,S
12450,1549062000,3363,S
13819,1549063140,3363,S
12438,1549063500,3363,S
12505,1549064100,3363,S
12442,1549065120,3363,S
14408,1549065300,3363,S
12490,1549066260,3363,S
14793,1549066680,3363,S
12391,1549066980,3363,S
13853,1549067400,3363,S
12440,1549068000,3363,S
12387,1549068660,3363,S
14816,1549071900,3363,S
14792,1549074300,3363,S
13939,1549080600,3363,S
14891,1549084800,3363,S
12400,1549086540,3363,S
12380,1549120860,3363,S
12404,1549125000,3363,S
12371,1549131420,3363,S
14794,1549135860,3363,S
12367,1549163340,3363,S
14893,1549247820,3363,S
12586,1549259700,3363,S
12360,1549282920,3363,S
14547,1549283460,3363,S
14912,1549287540,3363,S
12355,1549290300,3363,S
12356,1549291140,3363,S
12413,1549291140,3363,S
14829,1549291260,3363,S
12353,1549291560,3363,S
12359,1549291860,3363,S
12370,1549292760,3363,S
12390,1549292820,3363,S
12376,1549293120,3363,S
12431,1549293180,3363,S
14790,1549293180,3363,S
12352,1549293240,3363,S
12365,1549293300,3363,S
12362,1549293480,3363,S
13362,1549293840,3363,S
12358,1549294140,3363,S
12533,1549294740,3363,S
12383,1549294920,3363,N
12574,1549294980,3363,S
12354,1549294980,3363,S
14913,1549295340,3363,S
12369,1549295340,3363,S
12567,1549295460,3363,S
12363,1549295520,3363,S
12570,1549295640,3363,S
12546,1549296240,3363,S
12350,1549296240,3363,S
14760,1549296240,3363,S
12410,1549296420,3363,S
12339,1549297200,3363,S
12581,1549297320,3363,S
14710,1549297380,3363,S
12415,1549297380,3363,S
12409,1549297620,3363,S
14831,1549297860,3363,S
14644,1549297980,3363,S
12430,1549297980,3363,S
12382,1549298100,3363,S
12412,1549298400,3363,S
13630,1549298640,3363,S
14462,1549298880,3363,S
12575,1549299360,3363,S
12295,1549299360,3363,S
12524,1549299360,3363,S
12361,1549299420,3363,S
12375,1549299600,3363,S
12587,1549300080,3363,S
14915,1549300140,3363,S
12288,1549300260,3363,S
12424,1549300320,3363,S
14802,1549300620,3363,S
13955,1549300740,3363,S
12264,1549300860,3363,S
12310,1549300860,3363,S
12275,1549300860,3363,S
12345,1549300920,3363,S
12286,1549300980,3363,S
12373,1549301100,3363,S
12347,1549301100,3363,S
12267,1549301220,3363,S
12284,1549301280,3363,S
12388,1549301400,3363,S
12357,1549301400,3363,S
12270,1549301640,3363,S
12408,1549301820,3363,S
12572,1549302180,3363,S
14450,1549302240,3363,S
12338,1549302240,3363,S
12351,1549302300,3363,S
12307,1549302360,3363,S
14759,1549302600,3363,S
12566,1549302780,3363,S
12441,1549303020,3363,S
14154,1549303020,3363,S
12306,1549303200,3363,S
14546,1549303680,3363,S
14804,1549303680,3363,S
14896,1549304040,3363,S
14895,1549304100,3363,S
14807,1549304100,3363,S
12290,1549304340,3363,S
14155,1549304400,3363,S
10220,1549304940,3363,S
12259,1549305240,3363,S
12256,1549305360,3363,S
14924,1549305420,3363,S
12283,1549305660,3363,S
12257,1549305840,3363,S
12425,1549306200,3363,S
12241,1549306260,3363,S
12448,1549306380,3363,S
12434,1549306860,3363,S
13803,1549307040,3363,S
12253,1549307280,3363,S
13631,1549307760,3363,S
12573,1549307760,3363,S
12532,1549308360,3363,S
12251,1549308420,3363,S
12422,1549308480,3363,S
12261,1549308540,3363,S
14083,1549309020,3363,S
12317,1549309020,3363,S
12584,1549309440,3363,S
14645,1549309860,3363,S
12280,1549310040,3363,S
14687,1549310100,3363,S
12281,1549310220,3363,S
12247,1549310220,3363,S
12246,1549310820,3363,N
14414,1549311300,3363,S
12564,1549311360,3363,S
12271,1549311660,3363,S
13994,1549312080,3363,S
12571,1549312320,3363,S
14800,1549312980,3363,S
12519,1549313040,3363,S
14914,1549313880,3363,S
14958,1549314060,3363,S
12243,1549314060,3363,S
12289,1549314120,3363,S
12242,1549314240,3363,S
12530,1549314900,3363,S
12311,1549315020,3363,S
13777,1549315500,3363,S
