,closeDateTime,customerCode,onTimeSolution
40454,1548999900,372301,S
40082,1549003500,372301,N
40481,1549029480,372301,S
40482,1549029660,372301,S
38691,1549029900,372301,N
40500,1549030200,372301,S
38460,1549030620,372301,N
38350,1549030920,372301,S
42730,1549030920,372301,N
40502,1549031160,372301,S
40503,1549031460,372301,S
39284,1549032360,372301,S
34589,1549032780,372301,S
39873,1549032780,372301,S
29319,1549033200,372301,N
34583,1549033200,372301,S
37954,1549033260,372301,N
34794,1549033380,372301,S
39228,1549033620,372301,S
39285,1549033620,372301,N
38556,1549033800,372301,N
40397,1549033980,372301,S
40409,1549034280,372301,S
40209,1549034520,372301,N
39484,1549034580,372301,S
34584,1549034640,372301,S
34582,1549034880,372301,S
39997,1549035180,372301,N
39982,1549035360,372301,S
34679,1549035420,372301,S
40415,1549035840,372301,S
34093,1549036020,372301,N
39373,1549036140,372301,N
34777,1549036200,372301,S
38569,1549036320,372301,N
34779,1549036500,372301,S
40282,1549036740,372301,S
40450,1549036920,372301,S
40427,1549036920,372301,S
34740,1549037040,372301,S
39722,1549037040,372301,S
38689,1549037220,372301,N
40478,1549037220,372301,S
39492,1549037400,372301,S
41748,1549037460,372301,N
34666,1549037580,372301,S
42384,1549037640,372301,N
39871,1549037700,372301,S
40441,1549037880,372301,S
34781,1549038000,372301,S
40417,1549038060,372301,S
40066,1549038420,372301,S
34547,1549038960,372301,S
39902,1549039020,372301,S
34531,1549039380,372301,S
40297,1549039620,372301,N
34750,1549039860,372301,S
39918,1549040280,372301,S
28570,1549040400,372301,S
40017,1549040460,372301,S
40460,1549040520,372301,S
34474,1549040520,372301,S
40316,1549040580,372301,N
34714,1549040640,372301,S
39672,1549040760,372301,S
39738,1549040820,372301,N
38455,1549041000,372301,N
40438,1549041120,372301,S
40295,1549041180,372301,N
39441,1549041540,372301,N
40090,1549041720,372301,N
40221,1549042200,372301,N
34712,1549042620,372301,S
40493,1549042680,372301,S
40411,1549042740,372301,S
39493,1549043040,372301,N
40451,1549043520,372301,S
34528,1549043640,372301,S
34780,1549043880,372301,S
39108,1549044300,372301,S
39795,1549044360,372301,S
39328,1549044420,372301,N
40495,1549044780,372301,S
40442,1549044900,372301,S
39245,1549044900,372301,S
34523,1549044960,372301,S
39649,1549045080,372301,S
38185,1549045260,372301,N
38537,1549045440,372301,N
40038,1549045680,372301,N
38924,1549045740,372301,N
40456,1549046220,372301,S
34514,1549046640,372301,S
40105,1549046700,372301,N
34598,1549047060,372301,S
34482,1549047240,372301,S
40148,1549047660,372301,N
34621,1549047660,372301,S
38386,1549047780,372301,N
40286,1549047900,372301,N
34681,1549048200,372301,S
40355,1549048200,372301,S
40448,1549048320,372301,S
34480,1549048680,372301,S
34733,1549048860,372301,S
40443,1549048980,372301,S
40003,1549049520,372301,S
34702,1549049580,372301,S
34470,1549049760,372301,S
40333,1549050420,372301,N
34628,1549050420,372301,S
40496,1549050660,372301,S
34522,1549050720,372301,S
39840,1549052520,372301,S
34655,1549052700,372301,S
34798,1549053060,372301,S
40337,1549053180,372301,S
40284,1549053240,372301,S
34787,1549053540,372301,S
34458,1549053720,372301,S
39874,1549053780,372301,S
34631,1549054200,372301,S
39426,1549054260,372301,N
34784,1549054260,372301,S
40472,1549054320,372301,S
34336,1549054320,372301,S
39878,1549054380,372301,S
34540,1549054440,372301,S
34484,1549054500,372301,S
38707,1549054740,372301,N
34633,1549054920,372301,S
34473,1549054920,372301,S
39028,1549055160,372301,N
34397,1549055340,372301,S
40239,1549055460,372301,N
40325,1549055820,372301,S
34478,1549055880,372301,S
40412,1549056060,372301,N
39467,1549056300,372301,S
34363,1549056540,372301,N
40249,1549056960,372301,S
34304,1549057020,372301,S
34562,1549057800,372301,S
39773,1549057980,372301,S
34347,1549058100,372301,S
40238,1549058160,372301,N
39293,1549058400,372301,S
40156,1549058460,372301,S
39875,1549058460,372301,S
39594,1549058520,372301,N
34783,1549058640,372301,S
34722,1549058760,372301,S
34693,1549058880,372301,S
39872,1549058940,372301,S
34683,1549059240,372301,S
34770,1549059300,372301,N
34518,1549059300,372301,S
34452,1549059360,372301,S
28647,1549059420,372301,N
40473,1549059420,372301,N
39825,1549059480,372301,S
34446,1549059660,372301,S
34382,1549059720,372301,S
40140,1549060140,372301,S
38677,1549060260,372301,N
34735,1549060260,372301,S
39324,1549060380,372301,S
