,closeDateTime,customerCode,onTimeSolution
19315,1549031460,8068,N
19254,1549032000,8068,N
19251,1549032120,8068,N
19096,1549032180,8068,N
19080,1549032480,8068,S
18851,1549033380,8068,S
19273,1549033440,8068,N
19325,1549034700,8068,N
19040,1549034700,8068,N
18880,1549034760,8068,N
19055,1549035240,8068,N
18996,1549035420,8068,N
19334,1549035840,8068,S
19424,1549036980,8068,S
19032,1549037040,8068,N
19293,1549037040,8068,S
19223,1549037280,8068,S
19321,1549037280,8068,N
18613,1549037640,8068,N
19311,1549038000,8068,N
19217,1549038120,8068,N
18530,1549038420,8068,N
19238,1549038600,8068,N
19281,1549038720,8068,N
19084,1549038840,8068,N
19393,1549039740,8068,S
19090,1549040220,8068,N
18913,1549040220,8068,N
18957,1549040340,8068,S
19279,1549040940,8068,N
18972,1549041300,8068,N
19418,1549041480,8068,S
19338,1549041540,8068,S
19188,1549041900,8068,N
19291,1549042260,8068,S
19421,1549042380,8068,N
19265,1549042440,8068,N
19348,1549043100,8068,S
19024,1549043460,8068,N
19282,1549043640,8068,N
19404,1549043940,8068,S
18959,1549044120,8068,N
18323,1549044780,8068,S
19115,1549045620,8068,S
19194,1549046700,8068,S
18899,1549047480,8068,N
18908,1549047480,8068,S
19359,1549047720,8068,S
19399,1549048500,8068,N
19409,1549048860,8068,S
16222,1549049100,8068,N
19382,1549049160,8068,N
19128,1549049280,8068,N
19207,1549049280,8068,S
19295,1549049340,8068,N
19401,1549049400,8068,N
19462,1549049700,8068,S
19289,1549049700,8068,N
19468,1549050300,8068,S
19232,1549050600,8068,N
19258,1549051140,8068,N
19450,1549051440,8068,N
19292,1549051740,8068,N
19464,1549051980,8068,S
19378,1549052040,8068,N
19134,1549052340,8068,N
19448,1549052520,8068,N
19469,1549052640,8068,S
19374,1549052760,8068,N
19148,1549053300,8068,S
19426,1549053660,8068,N
19467,1549053720,8068,S
19402,1549053960,8068,S
19356,1549054080,8068,N
19290,1549054680,8068,S
19428,1549054980,8068,N
18728,1549054980,8068,S
19031,1549055160,8068,N
19373,1549055940,8068,S
19392,1549056180,8068,N
19309,1549056600,8068,S
19301,1549056900,8068,S
19196,1549057080,8068,S
19422,1549057260,8068,S
18878,1549057440,8068,S
19235,1549057560,8068,S
19350,1549057680,8068,S
19330,1549058040,8068,S
19449,1549058400,8068,N
19324,1549058520,8068,N
19415,1549058640,8068,N
19353,1549058700,8068,S
19331,1549059120,8068,S
19227,1549059240,8068,N
19074,1549059960,8068,N
19414,1549060140,8068,S
19455,1549060140,8068,N
18371,1549060620,8068,N
19092,1549061040,8068,N
19164,1549062360,8068,N
19398,1549062540,8068,S
19434,1549063680,8068,N
19403,1549064580,8068,N
19430,1549064820,8068,N
16098,1549065360,8068,S
19304,1549068720,8068,S
19146,1549070460,8068,N
19131,1549071360,8068,N
19439,1549072860,8068,S
19231,1549124400,8068,S
19269,1549131600,8068,S
19261,1549140960,8068,S
19229,1549150860,8068,S
19367,1549287960,8068,N
18965,1549290900,8068,S
19029,1549291200,8068,N
19457,1549292340,8068,S
19460,1549292340,8068,N
19133,1549293120,8068,N
19267,1549293960,8068,N
18627,1549294140,8068,S
19319,1549294800,8068,N
19248,1549295160,8068,N
19152,1549295400,8068,N
19253,1549295940,8068,S
19376,1549296180,8068,S
19136,1549297140,8068,S
19201,1549297200,8068,N
19419,1549297560,8068,N
18716,1549297740,8068,N
17604,1549297800,8068,S
17730,1549297920,8068,N
17601,1549297920,8068,S
18995,1549298340,8068,N
19294,1549298700,8068,N
19130,1549298700,8068,N
17640,1549298880,8068,S
19445,1549299240,8068,S
19365,1549299300,8068,N
19474,1549299420,8068,S
19320,1549299900,8068,S
19045,1549300200,8068,N
19340,1549300200,8068,S
19446,1549300200,8068,S
